Set of ThermodynamicInformation structures: 41
BensonThermodynamicBase(R14CH3CO):        H298:-1.0        S298:-0.017527053257587865        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.046902986465030494, 300.0]        [-0.0819338813926653, 400.0]        [-0.09758947812645066, 500.0]        [-0.10453738387132301, 600.0]        [-0.10915718574895798, 800.0]        [-0.10791558023056379, 1000.0]        [-0.13268134286344982, 1500.0]
BensonThermodynamicBase(R12CHCOV):        H298:1.0        S298:0.5284664766001695        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.2821378324023073, 300.0]        [0.1078013415799279, 400.0]        [0.03723062819345172, 500.0]        [0.006829389603853649, 600.0]        [-0.01691364465722586, 800.0]        [-0.02582207569650068, 1000.0]        [0.0219023101762605, 1500.0]
BensonThermodynamicBase(R43C4H9O2P):        H298:-0.6713971625294539        S298:0.0040521982102056575        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.00162485561531289, 300.0]        [-0.012534806312089537, 400.0]        [-0.017848991092020233, 500.0]        [-0.02160083497659451, 600.0]        [-0.028762417995687975, 800.0]        [-0.03245754490946974, 1000.0]        [-0.027342033630506673, 1500.0]
BensonThermodynamicBase(R8CH3OO):        H298:0.2262636945815336        S298:-0.05450352924837726        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.05115121577740197, 300.0]        [-0.048983639256771995, 400.0]        [-0.05282933652414685, 500.0]        [-0.06001021283446609, 600.0]        [-0.07862589321756248, 800.0]        [-0.09574448652666476, 1000.0]        [-0.14014337110540914, 1500.0]
BensonThermodynamicBase(R24C2H4OH):        H298:0.1845987446199747        S298:-0.018085120458246125        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.026512910728629588, 300.0]        [-0.0371248766010244, 400.0]        [-0.041071526638608837, 500.0]        [-0.04505127621851125, 600.0]        [-0.059038291991518235, 800.0]        [-0.0716053856554212, 1000.0]        [-0.09203883962737387, 1500.0]
BensonThermodynamicBase(R25C2H4OH):        H298:0.18422814514682254        S298:-0.03072598097870928        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.03166000749572471, 300.0]        [-0.06509235171916183, 400.0]        [-0.08105877543469514, 500.0]        [-0.09134963123851775, 600.0]        [-0.10947116478113729, 800.0]        [-0.12418783230692956, 1000.0]        [-0.14509538869767344, 1500.0]
BensonThermodynamicBase(R13CH2CHO):        H298:-0.16642461540598547        S298:-0.015477017667986984        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.003539844574008103, 300.0]        [0.007918277000147574, 400.0]        [0.012678771256072646, 500.0]        [0.01740873298721659, 600.0]        [0.027030183319253418, 800.0]        [0.04065579345400656, 1000.0]        [0.08295518494196587, 1500.0]
BensonThermodynamicBase(R22CO2H):        H298:-0.14596870022848416        S298:-0.009871784432858712        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.05133327848132062, 300.0]        [-0.026492750440721188, 400.0]        [-0.07216181917061346, 500.0]        [-0.1014768992962728, 600.0]        [-0.13657624817133057, 800.0]        [-0.14813970468508597, 1000.0]        [-0.08362074772443542, 1500.0]
BensonThermodynamicBase(R9C2HT):        H298:0.1272880979800697        S298:0.006513336770876553        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.00986473471997182, 300.0]        [-0.010673849843712073, 400.0]        [-0.013655416811434848, 500.0]        [-0.01995913828059584, 600.0]        [-0.04189252380186963, 800.0]        [-0.06442542944572695, 1000.0]        [-0.03676688245594412, 1500.0]
BensonThermodynamicBase(R35C4H9O2P):        H298:-0.09260281878630727        S298:0.010922262058040602        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.0013932835932193312, 300.0]        [-0.010231192585243762, 400.0]        [-0.01145262360462751, 500.0]        [-0.011733649758243297, 600.0]        [-0.01657461197569816, 800.0]        [-0.020597661724852574, 1000.0]        [-0.011745352140777442, 1500.0]
